0.4922148091948947,282.27889716802326,0.45226500894547655,1.0554601116863391
0.5219972419857332,345.371616615653,0.31227936276641893,1.5361845123779527
0.5523819925103953,210.35937862232788,0.2221974275734428,0.9748613678679078
0.4997582201693203,196.64465619782231,0.3975292299701862,0.5953509064541567
0.49309393859980255,290.30633543645786,0.45131874569375374,1.4198775872071767
0.4898849075044225,120.47677887764895,0.4393030810437392,2.97523771185456
0.5123104434340106,284.2081653860175,0.3197864103511263,1.331308711345542
0.6255878255381105,141.45384432107778,0.0763200830517406,0.44326599200270195
0.6155194108944585,287.6815386114674,0.09170355505281677,0.9864775355012576
0.49042111044215536,346.96216481594735,0.45497430272653455,0.4582936327930167
0.6226486482251989,134.54321176270875,0.0787662624461743,0.33674003233859745
0.618394707574088,136.086323985119,0.07054523993691295,0.47673450194597494
0.45842978716677457,385.50245869140895,0.677821169128381,0.7944996972334774
0.4602279144105479,364.0495393248994,0.684361684740651,0.6351119164865006
0.4884132350814083,354.5513577428414,0.4556208074376225,0.46724955457850115
0.5474414349264216,108.60437197827133,0.22742679719710843,0.610388936273565
0.45700800012496234,344.8622168384152,0.6909513099109169,0.718758018802566
0.5190253081428663,198.42264247732254,0.31300764804598125,1.1525000040044482
0.48908779075275494,296.2391855389136,0.48583325735758337,1.1192838024038743
0.6255878255381105,141.45384432107778,0.0763200830517406,0.44326599200270195
0.5123104434340106,284.2081653860175,0.3197864103511263,1.331308711345542
0.6070666200702817,153.58986088625943,0.06621962968736646,0.4065122848639589
0.4948083503141024,340.6410517517084,0.5961454824972738,0.752718998995026
0.4602279144105479,364.0495393248994,0.684361684740651,0.6351119164865006
0.46078680822199025,354.60269295490286,0.6750075781003698,0.731899755449559
0.5197929881955079,176.97763099191747,0.2815070075589472,1.1949166960995523
0.4602279144105479,364.0495393248994,0.684361684740651,0.6351119164865006
0.6255878255381105,141.45384432107778,0.0763200830517406,0.44326599200270195
0.5123104434340106,284.2081653860175,0.3197864103511263,1.331308711345542
0.6255878255381105,141.45384432107778,0.0763200830517406,0.44326599200270195
0.5007418055993351,232.5151562899878,0.42109292255420233,1.0198693965855552
0.6255878255381105,141.45384432107778,0.0763200830517406,0.44326599200270195
0.5425892210036409,104.37567940429282,0.2286513558669345,0.5787438879335112
0.7390413273692963,317.0887942249621,0.018579067272274367,1.4926389047911974
0.4803258880428775,371.6099234070298,0.48396543759406785,0.5525515980921913
0.7390413273692963,317.0887942249621,0.018579067272274367,1.4926389047911974
0.5007418055993351,232.5151562899878,0.42109292255420233,1.0198693965855552
0.6255878255381105,141.45384432107778,0.0763200830517406,0.44326599200270195
